Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2010M10,Urea (46% N),Euro per Tonne,338
Fertiliser Price,2010M11,Urea (46% N),Euro per Tonne,339
Fertiliser Price,2010M12,Urea (46% N),Euro per Tonne,351
Fertiliser Price,2011M01,Urea (46% N),Euro per Tonne,385
Fertiliser Price,2011M02,Urea (46% N),Euro per Tonne,401
Fertiliser Price,2011M03,Urea (46% N),Euro per Tonne,402
Fertiliser Price,2011M04,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2011M05,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2011M06,Urea (46% N),Euro per Tonne,398
Fertiliser Price,2011M07,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2011M08,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2011M09,Urea (46% N),Euro per Tonne,401
Fertiliser Price,2011M10,Urea (46% N),Euro per Tonne,405
Fertiliser Price,2011M11,Urea (46% N),Euro per Tonne,405
Fertiliser Price,2011M12,Urea (46% N),Euro per Tonne,412
Fertiliser Price,2012M01,Urea (46% N),Euro per Tonne,426
Fertiliser Price,2012M02,Urea (46% N),Euro per Tonne,432
Fertiliser Price,2012M03,Urea (46% N),Euro per Tonne,434
Fertiliser Price,2012M04,Urea (46% N),Euro per Tonne,437
Fertiliser Price,2012M05,Urea (46% N),Euro per Tonne,437
Fertiliser Price,2012M06,Urea (46% N),Euro per Tonne,436
Fertiliser Price,2012M07,Urea (46% N),Euro per Tonne,435
Fertiliser Price,2012M08,Urea (46% N),Euro per Tonne,435
Fertiliser Price,2012M09,Urea (46% N),Euro per Tonne,435
Fertiliser Price,2012M10,Urea (46% N),Euro per Tonne,439
Fertiliser Price,2012M11,Urea (46% N),Euro per Tonne,439
Fertiliser Price,2012M12,Urea (46% N),Euro per Tonne,439
Fertiliser Price,2013M01,Urea (46% N),Euro per Tonne,443
Fertiliser Price,2013M02,Urea (46% N),Euro per Tonne,444
Fertiliser Price,2013M03,Urea (46% N),Euro per Tonne,447
Fertiliser Price,2013M04,Urea (46% N),Euro per Tonne,447
Fertiliser Price,2013M05,Urea (46% N),Euro per Tonne,447
Fertiliser Price,2013M06,Urea (46% N),Euro per Tonne,446
Fertiliser Price,2013M07,Urea (46% N),Euro per Tonne,444
Fertiliser Price,2013M08,Urea (46% N),Euro per Tonne,440
Fertiliser Price,2013M09,Urea (46% N),Euro per Tonne,441
Fertiliser Price,2013M10,Urea (46% N),Euro per Tonne,440
Fertiliser Price,2013M11,Urea (46% N),Euro per Tonne,437
Fertiliser Price,2013M12,Urea (46% N),Euro per Tonne,434
Fertiliser Price,2014M01,Urea (46% N),Euro per Tonne,412
Fertiliser Price,2014M02,Urea (46% N),Euro per Tonne,399
Fertiliser Price,2014M03,Urea (46% N),Euro per Tonne,398
Fertiliser Price,2014M04,Urea (46% N),Euro per Tonne,398
Fertiliser Price,2014M05,Urea (46% N),Euro per Tonne,401
Fertiliser Price,2014M06,Urea (46% N),Euro per Tonne,393
Fertiliser Price,2014M07,Urea (46% N),Euro per Tonne,391
Fertiliser Price,2014M08,Urea (46% N),Euro per Tonne,387
Fertiliser Price,2014M09,Urea (46% N),Euro per Tonne,388
Fertiliser Price,2014M10,Urea (46% N),Euro per Tonne,388
Fertiliser Price,2014M11,Urea (46% N),Euro per Tonne,393
