Statistic,Month,Type of Fertiliser,UNIT,VALUE
Fertiliser Price,2006M01,Granular Superphosphate (16% P),Euro per Tonne,280
Fertiliser Price,2006M02,Granular Superphosphate (16% P),Euro per Tonne,283
Fertiliser Price,2006M03,Granular Superphosphate (16% P),Euro per Tonne,286
Fertiliser Price,2006M04,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M05,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M06,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M07,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M08,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M09,Granular Superphosphate (16% P),Euro per Tonne,288
Fertiliser Price,2006M10,Granular Superphosphate (16% P),Euro per Tonne,289
Fertiliser Price,2006M11,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2006M12,Granular Superphosphate (16% P),Euro per Tonne,289
Fertiliser Price,2007M01,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M02,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M03,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M04,Granular Superphosphate (16% P),Euro per Tonne,290
Fertiliser Price,2007M05,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2007M06,Granular Superphosphate (16% P),Euro per Tonne,292
Fertiliser Price,2007M07,Granular Superphosphate (16% P),Euro per Tonne,293
Fertiliser Price,2007M08,Granular Superphosphate (16% P),Euro per Tonne,293
Fertiliser Price,2007M09,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M10,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M11,Granular Superphosphate (16% P),Euro per Tonne,303
Fertiliser Price,2007M12,Granular Superphosphate (16% P),Euro per Tonne,367
Fertiliser Price,2008M01,Granular Superphosphate (16% P),Euro per Tonne,474
Fertiliser Price,2008M02,Granular Superphosphate (16% P),Euro per Tonne,507
Fertiliser Price,2008M03,Granular Superphosphate (16% P),Euro per Tonne,517
Fertiliser Price,2008M04,Granular Superphosphate (16% P),Euro per Tonne,530
Fertiliser Price,2008M05,Granular Superphosphate (16% P),Euro per Tonne,545
Fertiliser Price,2008M06,Granular Superphosphate (16% P),Euro per Tonne,562
Fertiliser Price,2008M07,Granular Superphosphate (16% P),Euro per Tonne,562
Fertiliser Price,2008M08,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M09,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M10,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M11,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2008M12,Granular Superphosphate (16% P),Euro per Tonne,592
Fertiliser Price,2009M01,Granular Superphosphate (16% P),Euro per Tonne,599
Fertiliser Price,2009M02,Granular Superphosphate (16% P),Euro per Tonne,574
Fertiliser Price,2009M03,Granular Superphosphate (16% P),Euro per Tonne,559
Fertiliser Price,2009M04,Granular Superphosphate (16% P),Euro per Tonne,537
Fertiliser Price,2009M05,Granular Superphosphate (16% P),Euro per Tonne,547
Fertiliser Price,2009M06,Granular Superphosphate (16% P),Euro per Tonne,547
Fertiliser Price,2009M07,Granular Superphosphate (16% P),Euro per Tonne,544
