Statistic,Month,Product,UNIT,VALUE
Production of Dairy Products,2007M12,Skimmed Milk Powder,000 Tonnes,2.8
Production of Dairy Products,2008M01,Skimmed Milk Powder,000 Tonnes,2.7
Production of Dairy Products,2008M02,Skimmed Milk Powder,000 Tonnes,2.2
Production of Dairy Products,2008M03,Skimmed Milk Powder,000 Tonnes,2.3
Production of Dairy Products,2008M04,Skimmed Milk Powder,000 Tonnes,5.7
Production of Dairy Products,2008M05,Skimmed Milk Powder,000 Tonnes,9.8
Production of Dairy Products,2008M06,Skimmed Milk Powder,000 Tonnes,8.8
Production of Dairy Products,2008M07,Skimmed Milk Powder,000 Tonnes,7.9
Production of Dairy Products,2008M08,Skimmed Milk Powder,000 Tonnes,5.4
Production of Dairy Products,2008M09,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,2008M10,Skimmed Milk Powder,000 Tonnes,3.6
Production of Dairy Products,2008M11,Skimmed Milk Powder,000 Tonnes,
Production of Dairy Products,2008M12,Skimmed Milk Powder,000 Tonnes,
Production of Dairy Products,2009M01,Skimmed Milk Powder,000 Tonnes,2.3
Production of Dairy Products,2009M02,Skimmed Milk Powder,000 Tonnes,1.4
Production of Dairy Products,2009M03,Skimmed Milk Powder,000 Tonnes,3.2
Production of Dairy Products,2009M04,Skimmed Milk Powder,000 Tonnes,9.6
Production of Dairy Products,2009M05,Skimmed Milk Powder,000 Tonnes,10.7
Production of Dairy Products,2009M06,Skimmed Milk Powder,000 Tonnes,10.2
Production of Dairy Products,2009M07,Skimmed Milk Powder,000 Tonnes,10.5
Production of Dairy Products,2009M08,Skimmed Milk Powder,000 Tonnes,7.9
Production of Dairy Products,2009M09,Skimmed Milk Powder,000 Tonnes,6
